Nombre,Latitud,Longitud,Pais,Siglas,Tipo,Poblacion
Manhica,-25.4,32.8,Mozambique,MOZ,Ciudad,60031
Cubulco,15.1083,-90.6306,Guatemala,GTM,Capital Provincia,60112
Benevento,41.1333,14.7833,Italia,ITA,Capital Provincia,59789
Belebey,54.1,54.1333,Rusia,RUS,Ciudad,60188
Labinsk,44.6333,40.7333,Rusia,RUS,Capital Provincia,60164
Nordre Fale,59.75,10.8667,Noruega,NOR,Ciudad,60034
Lianzhuang,37.1146,115.7594,China,CHN,Ciudad,59576
San Simon,14.998,120.78,Filipinas,PHL,Ciudad,59182
Camocim,-2.9019,-40.8408,Brasil,BRA,Ciudad,60158
Shimotsuke,36.3872,139.8422,Japón,JPN,Ciudad,59404
Alfonso,14.1379,120.8552,Filipinas,PHL,Ciudad,59306
Chandralapadu,16.715,80.2089,India,IND,Ciudad,59943
Urus-Martan,43.1224,45.5366,Rusia,RUS,Capital Provincia,59954
South Hill,47.1203,-122.2848,Estados Unidos,USA,Ciudad,60172
San Mariano,16.9833,122.0167,Filipinas,PHL,Ciudad,60124
Tecpan Guatemala,14.7667,-91.0,Guatemala,GTM,Capital Provincia,59859
Benevides,-1.3608,-48.245,Brasil,BRA,Ciudad,59836
Towada,40.6128,141.2058,Japón,JPN,Ciudad,60063
Suifenhe,44.3998,131.1478,China,CHN,Capital Provincia,60000
Kapchagay,43.8833,77.0833,Kazajistán,KAZ,Ciudad,60100
Aranjuez,40.0333,-3.6028,España,ESP,Ciudad,59833
Vinukonda,16.05,79.75,India,IND,Ciudad,59725
Kananya,11.1833,124.5667,Filipinas,PHL,Ciudad,59696
Sanyo-Onoda,34.0033,131.1819,Japón,JPN,Ciudad,59648
Ilog,10.0333,122.7667,Filipinas,PHL,Ciudad,59855
Sigaboy,6.65,126.0667,Filipinas,PHL,Ciudad,59891
San Marcos,8.6622,-75.1289,Colombia,COL,Capital Provincia,59976
Bayji,34.9292,43.4931,Irak,IRQ,Capital Provincia,60000
Lagoa Santa,-19.6269,-43.89,Brasil,BRA,Ciudad,59770
Kribi,2.95,9.9167,Camerún,CMR,Ciudad,60000
Plymouth,41.8783,-70.6309,Estados Unidos,USA,Ciudad,60024
Maues,-3.3836,-57.7186,Brasil,BRA,Ciudad,59983
Bristol,41.6812,-72.9407,Estados Unidos,USA,Ciudad,59947
Comitancillo,15.0906,-91.7486,Guatemala,GTM,Capital Provincia,59357
Niort,46.3258,-0.4606,Francia,FRA,Capital Provincia,59059
Ragay,13.8183,122.7923,Filipinas,PHL,Ciudad,59770
Columbus,39.2093,-85.9183,Estados Unidos,USA,Ciudad,59897
Hardenberg,52.5758,6.6194,Netherlands,NLD,Capital Provincia,59689
Shuya,56.85,41.3667,Rusia,RUS,Ciudad,58114
Huajiang,25.7491,105.6063,China,CHN,Ciudad,59657
San Francisco,10.65,124.35,Filipinas,PHL,Ciudad,59236
Bangor,44.8322,-68.7906,Estados Unidos,USA,Ciudad,59772
Lesosibirsk,58.2333,92.4833,Rusia,RUS,Ciudad,59525
Tezpur,26.6338,92.8,India,IND,Ciudad,58851
Zhoujiajing,31.1116,121.0518,China,CHN,Ciudad,59300
Chibuto,-24.6867,33.5306,Mozambique,MOZ,Ciudad,58012
Palmares,-8.6828,-35.5919,Brasil,BRA,Ciudad,59526
Joso,36.0236,139.9939,Japón,JPN,Ciudad,59223
Pasrur,32.2681,74.6675,Pakistán,PAK,Ciudad,58644
Mouscron,50.7444,3.2156,Bélgica,BEL,Capital Provincia,58234
Irosin,12.7,124.0333,Filipinas,PHL,Ciudad,59267
Narasapur,16.4333,81.6833,India,IND,Ciudad,58770
Saint-Hyacinthe,45.6167,-72.95,Canadá,CAN,Ciudad,59614
Ogori,33.3964,130.5556,Japón,JPN,Ciudad,58322
Goianesia,-15.3169,-49.1169,Brasil,BRA,Ciudad,59549
Alcoy,38.6983,-0.4736,España,ESP,Ciudad,59128
San Luis,15.04,120.7919,Filipinas,PHL,Ciudad,58551
Agrigento,37.3111,13.5765,Italia,ITA,Capital Provincia,59329
Montenegro,-29.6889,-51.4608,Brasil,BRA,Ciudad,59415
Santa Isabel do Para,-1.2989,-48.1608,Brasil,BRA,Ciudad,59466
Roxas,12.5833,121.5,Filipinas,PHL,Ciudad,58849
Prokhladnyy,43.7575,44.0297,Rusia,RUS,Capital Provincia,57883
Kesennuma,38.9083,141.57,Japón,JPN,Ciudad,59341
Yara,20.2767,-76.9469,Cuba,CUB,Capital Provincia,59415
Esfarayen,37.0764,57.51,Irán,IRN,Capital Provincia,59490
Sayaxche,16.5167,-90.1833,Guatemala,GTM,Capital Provincia,59499
Moron,22.1108,-78.6278,Cuba,CUB,Capital Provincia,59371
Los Andes,-32.8337,-70.5982,Chile,CHL,Capital Provincia,59388
Greenwood,39.6019,-86.1073,Estados Unidos,USA,Ciudad,59458
Lucas do Rio Verde,-13.05,-55.9108,Brasil,BRA,Ciudad,59436
Hyuga,32.4228,131.6239,Japón,JPN,Ciudad,59276
Hua Hin,12.5686,99.9578,Tailandia,THA,Capital Provincia,59369
Bartlett,35.2337,-89.8195,Estados Unidos,USA,Ciudad,59440
Bradenton,27.49,-82.5739,Estados Unidos,USA,Ciudad,59439
Pontiac,42.6493,-83.2878,Estados Unidos,USA,Ciudad,59438
Staunton,38.1593,-79.0611,Estados Unidos,USA,Ciudad,59433
Neu-Ulm,48.3833,10.0,Alemania,DEU,Capital Provincia,58707
Gannan,47.9117,123.4978,China,CHN,Capital Provincia,59239
Carazinho,-28.2839,-52.7858,Brasil,BRA,Ciudad,59317
El Cua,13.3679,-85.6728,Nicaragua,NIC,Capital Provincia,59307
Concepcion Tutuapa,15.2833,-91.7833,Guatemala,GTM,Capital Provincia,59063
Esperanza,8.676,125.6454,Filipinas,PHL,Ciudad,59353
Meriden,41.5367,-72.7944,Estados Unidos,USA,Ciudad,59395
Aleksandrov,56.3936,38.715,Rusia,RUS,Ciudad,59328
Clay,43.1809,-76.1955,Estados Unidos,USA,Ciudad,59364
Ibaan,13.8176,121.133,Filipinas,PHL,Ciudad,58507
El Salvador,8.5667,124.5167,Filipinas,PHL,Ciudad,58771
Tahara,34.6414,137.1831,Japón,JPN,Ciudad,59015
Apex,35.7239,-78.8728,Estados Unidos,USA,Ciudad,59300
Unna,51.5347,7.6889,Alemania,DEU,Capital Provincia,58633
Royal Oak,42.5084,-83.1539,Estados Unidos,USA,Ciudad,59277
Mansalay,12.5204,121.4385,Filipinas,PHL,Ciudad,59114
Chikuma,36.5307,138.1149,Japón,JPN,Ciudad,58755
Calatagan,13.8322,120.6322,Filipinas,PHL,Ciudad,58719
Shirakawa,37.1264,140.2108,Japón,JPN,Ciudad,59044
Halesowen,52.4502,-2.0509,Reino Unido,GBR,Ciudad,58135
Benton Harbor,42.1159,-86.4488,Estados Unidos,USA,Ciudad,59216
Chichibu,35.9917,139.0856,Japón,JPN,Ciudad,59101
Tianningcun,30.8938,120.8009,China,CHN,Ciudad,58430
Santa Maria Chiquimula,15.0292,-91.3294,Guatemala,GTM,Capital Provincia,58918
Zengcun,38.2451,114.7367,China,CHN,Ciudad,58339
Masantol,14.9,120.7167,Filipinas,PHL,Ciudad,57990
Kattaqo'rg'on Shahri,39.8958,66.2656,Uzbekistán,UZB,Capital Provincia,58950
Canlaon,10.3667,123.2,Filipinas,PHL,Ciudad,58822
Pamplona,7.3761,-72.6483,Colombia,COL,Capital Provincia,58975
Florida,3.3217,-76.2347,Colombia,COL,Capital Provincia,58988
Constanza,18.91,-70.75,República Dominicana,DOM,Ciudad,59052
Damghan,36.1681,54.3481,Irán,IRN,Capital Provincia,59106
Upi,7.0289,124.165,Filipinas,PHL,Ciudad,59004
Motril,36.75,-3.5167,España,ESP,Ciudad,58545
Faenza,44.2856,11.8833,Italia,ITA,Ciudad,58797
Bilhorod-Dnistrovskyi,46.1833,30.3333,Ucrania,UKR,Capital Provincia,57210
Xikeng,24.0505,116.8538,China,CHN,Ciudad,58890
Lower Merion,40.0282,-75.2807,Estados Unidos,USA,Ciudad,59037
St. Clair Shores,42.4921,-82.8957,Estados Unidos,USA,Ciudad,58984
Kelibia,36.8475,11.0939,Túnez,TUN,Ciudad,58491
Barra do Garcas,-15.89,-52.2569,Brasil,BRA,Ciudad,58974
Rass el Djebel,37.215,10.12,Túnez,TUN,Ciudad,58241
Sandnes,58.85,5.7333,Noruega,NOR,Capital Provincia,58694
Gattaran,18.0667,121.65,Filipinas,PHL,Ciudad,58874
Panskura,22.42,87.7,India,IND,Ciudad,57932
Pedro Leopoldo,-19.6178,-44.0428,Brasil,BRA,Ciudad,58740
Melchor Ocampo,19.7083,-99.1444,México,MEX,Capital Provincia,57152
Des Plaines,42.0345,-87.9009,Estados Unidos,USA,Ciudad,58899
Jarabacoa,19.1197,-70.6383,República Dominicana,DOM,Ciudad,58803
Lac-Brome,45.2167,-72.5167,Canadá,CAN,Ciudad,58889
Timargara,34.8281,71.8408,Pakistán,PAK,Capital Provincia,58050
Boufarik,36.575,2.9097,Argelia,DZA,Ciudad,57162
Wuyang,27.057,108.3959,China,CHN,Ciudad,58630
Lewiston,44.0915,-70.1681,Estados Unidos,USA,Ciudad,58802
Jovellanos,22.8106,-81.1981,Cuba,CUB,Capital Provincia,58685
Barotac Nuevo,10.9,122.7,Filipinas,PHL,Ciudad,58176
Bezerros,-8.2333,-35.75,Brasil,BRA,Ciudad,58668
Midland,43.6241,-84.2319,Estados Unidos,USA,Ciudad,58787
Mikhaylovka,50.0667,43.2333,Rusia,RUS,Ciudad,57829
Baganga,7.5752,126.5585,Filipinas,PHL,Ciudad,58714
Palompon,11.05,124.3833,Filipinas,PHL,Ciudad,58313
Surubim,-7.8319,-35.7558,Brasil,BRA,Ciudad,58515
Izberbash,42.5667,47.8667,Rusia,RUS,Ciudad,58690
Sucun,31.0554,118.1057,China,CHN,Ciudad,58300
Asingan,16.0023,120.6695,Filipinas,PHL,Ciudad,57811
Bowie,38.9569,-76.7409,Estados Unidos,USA,Ciudad,58643
Cerignola,41.2667,15.9,Italia,ITA,Ciudad,58540
Yanguancun,30.4541,120.5545,China,CHN,Ciudad,57609
Qaskeleng,43.1983,76.6311,Kazajistán,KAZ,Ciudad,58418
Aldershot,51.248,-0.758,Reino Unido,GBR,Ciudad,57211
Kitahiroshima,42.9857,141.5636,Japón,JPN,Ciudad,58125
Aketi,2.7405,23.78,República Democrática del Congo,COD,Ciudad,58601
Rampur Hat,24.17,87.78,India,IND,Ciudad,57833
Cogan,10.5833,123.9667,Filipinas,PHL,Ciudad,57897
Felgueiras,41.3667,-8.2,Portugal,PRT,Capital Provincia,58065
Ejmiatsin,40.1728,44.2925,Armenia,ARM,Ciudad,57500
Tokoname,34.8833,136.8333,Japón,JPN,Ciudad,57507
Lambayeque,-6.7,-79.9,Peru,PER,Ciudad,58276
Goppingen,48.7025,9.6528,Alemania,DEU,Capital Provincia,57558
Sunshi,38.7631,116.4876,China,CHN,Ciudad,57980
Dumanjog,10.05,123.4833,Filipinas,PHL,Ciudad,57823
Iskitim,54.6333,83.3,Rusia,RUS,Ciudad,56602
Guarabira,-6.855,-35.49,Brasil,BRA,Ciudad,58162
Caldwell,43.6453,-116.6591,Estados Unidos,USA,Ciudad,58481
San Pedro,-24.2196,-64.87,Argentina,ARG,Capital Provincia,58430
Date,37.8189,140.5631,Japón,JPN,Ciudad,58232
Ma'erkang,31.9046,102.2167,China,CHN,Capital Provincia,58437
San Rafael,37.9905,-122.5222,Estados Unidos,USA,Ciudad,58440
Moncalieri,45.0,7.6833,Italia,ITA,Ciudad,57234
San Fernando,-34.5839,-70.9891,Chile,CHL,Capital Provincia,58367
Euskirchen,50.6613,6.7873,Alemania,DEU,Capital Provincia,57975
Kokawa,34.2697,135.3625,Japón,JPN,Ciudad,58130
Serres,41.0833,23.55,Grecia,GRC,Capital Provincia,58287
Jiantang,27.8205,99.7043,China,CHN,Capital Provincia,58339
Ishikari,43.1783,141.3067,Japón,JPN,Ciudad,58284
Punta Alta,-38.88,-62.075,Argentina,ARG,Capital Provincia,58315
Biguacu,-27.4939,-48.6558,Brasil,BRA,Ciudad,58206
La Gomera,14.0833,-91.05,Guatemala,GTM,Capital Provincia,58272
Kosai,34.7186,137.5317,Japón,JPN,Ciudad,57682
Nyagan,62.1333,65.3833,Rusia,RUS,Ciudad,58335
Beauvais,49.4303,2.0952,Francia,FRA,Capital Provincia,56605
Barneveld,52.1333,5.5833,Netherlands,NLD,Capital Provincia,57971
Samana,19.2053,-69.3364,República Dominicana,DOM,Capital Provincia,58156
Huaniu,34.5658,105.8215,China,CHN,Ciudad,57360
Doetinchem,51.9667,6.2833,Netherlands,NLD,Capital Provincia,57555
Hamburg,42.7394,-78.8581,Estados Unidos,USA,Ciudad,58266
Richland,46.2824,-119.2938,Estados Unidos,USA,Ciudad,58225
Fredericton,45.9636,-66.6431,Canadá,CAN,Capital Comunidad,58220
Choshi,35.7347,140.8267,Japón,JPN,Ciudad,57533
St. Peters,38.7824,-90.6061,Estados Unidos,USA,Ciudad,58212
Wesley Chapel,28.2106,-82.3238,Estados Unidos,USA,Ciudad,58208
Togane,35.56,140.3661,Japón,JPN,Ciudad,57560
Avila,40.65,-4.6833,España,ESP,Capital Provincia,57949
Gengzhuangqiao,37.4453,114.9804,China,CHN,Ciudad,57617
Tanauan,11.1167,125.0167,Filipinas,PHL,Ciudad,57455
Heerhugowaard,52.668,4.841,Netherlands,NLD,Capital Provincia,56742
Pula,44.8667,13.8333,Croacia,HRV,Capital Provincia,57053
Tikhvin,59.6442,33.5422,Rusia,RUS,Ciudad,58136
Benslimane,33.6122,-7.1211,Marruecos,MAR,Ciudad,57101
Lonavale,18.7481,73.4072,India,IND,Ciudad,57698
New Corella,7.5866,125.8237,Filipinas,PHL,Ciudad,57913
Pradera,3.4189,-76.2439,Colombia,COL,Capital Provincia,57990
Gaspar,-26.9308,-48.9589,Brasil,BRA,Ciudad,57981
Roermond,51.1933,5.9872,Netherlands,NLD,Capital Provincia,57308
Hendersonville,36.3063,-86.5998,Estados Unidos,USA,Ciudad,58113
Huntersville,35.4058,-80.8727,Estados Unidos,USA,Ciudad,58098
Mizuho,35.3919,136.6908,Japón,JPN,Ciudad,56106
Mirassol,-20.8189,-49.5208,Brasil,BRA,Ciudad,57857
Southampton,40.8996,-72.4937,Estados Unidos,USA,Ciudad,58094
Xiezhou,34.9124,110.8517,China,CHN,Ciudad,57773
Santee,32.8554,-116.9851,Estados Unidos,USA,Ciudad,58081
Hameln,52.1031,9.36,Alemania,DEU,Capital Provincia,57510
Meleuz,52.9647,55.9328,Rusia,RUS,Ciudad,58004
Khlong Luang,14.0647,100.6458,Tailandia,THA,Capital Provincia,56128
Antonio Enes,-16.2308,39.9105,Mozambique,MOZ,Ciudad,57835
Allanmyo,19.3783,95.2279,Birmania,MMR,Ciudad,57897
Samalkot,17.0531,82.1695,India,IND,Ciudad,56864
Aleksin,54.5,37.0667,Rusia,RUS,Ciudad,57892
Berezovskiy,56.9,60.8,Rusia,RUS,Ciudad,57892
Ping'an,36.502,102.1082,China,CHN,Ciudad,57152
Kalna,23.22,88.37,India,IND,Ciudad,56722
Beckley,37.7878,-81.1841,Estados Unidos,USA,Ciudad,57942
Qianwu,22.1635,113.2217,China,CHN,Ciudad,57352
Alexandroupoli,40.85,25.8667,Grecia,GRC,Capital Provincia,57812
Titusville,28.5727,-80.8193,Estados Unidos,USA,Ciudad,57891
Tarsus,36.9167,34.9,Turquía,TUR,Capital Provincia,57737
Cartersville,34.1639,-84.8007,Estados Unidos,USA,Ciudad,57873
Bedzin,50.325,19.1333,Polonia,POL,Capital Provincia,56354
Walla Walla,46.067,-118.3366,Estados Unidos,USA,Ciudad,57860
Orland Park,41.6074,-87.8619,Estados Unidos,USA,Ciudad,57857
Santa Maria,6.55,125.4667,Filipinas,PHL,Ciudad,57526
Kothapet,19.3333,79.4833,India,IND,Ciudad,57583
Ciudad Cuauhtemoc,22.1833,-97.8333,México,MEX,Capital Provincia,57646
Tikhoretsk,45.85,40.1167,Rusia,RUS,Capital Provincia,57771
Towson,39.3944,-76.619,Estados Unidos,USA,Ciudad,57817
Biala Podlaska,52.0333,23.1167,Polonia,POL,Capital Provincia,57498
Orito,0.6661,-76.8708,Colombia,COL,Capital Provincia,57774
Manchester,41.7753,-72.5242,Estados Unidos,USA,Ciudad,57805
Jasaan,8.65,124.75,Filipinas,PHL,Ciudad,57055
Qunghirot,43.0704,58.9,Uzbekistán,UZB,Ciudad,57758
Minokamo,35.4333,137.0167,Japón,JPN,Ciudad,57007
Weymouth,42.1984,-70.9466,Estados Unidos,USA,Ciudad,57746
Macherla,16.48,79.43,India,IND,Ciudad,57290
Campo Alegre,-9.7819,-36.3508,Brasil,BRA,Ciudad,57548
Ibitinga,-21.7578,-48.8289,Brasil,BRA,Ciudad,57649
Pavlovo,55.9619,43.09,Rusia,RUS,Ciudad,57630
Kandukur,15.2165,79.9042,India,IND,Ciudad,57246
Floriano,-6.7669,-43.0228,Brasil,BRA,Ciudad,57690
Parker,39.5084,-104.7753,Estados Unidos,USA,Ciudad,57706
Palm Beach Gardens,26.8466,-80.1679,Estados Unidos,USA,Ciudad,57704
Krasnotur'insk,59.7733,60.1853,Rusia,RUS,Ciudad,57514
Bozeman,45.6832,-111.0552,Estados Unidos,USA,Ciudad,57695
Diriamba,11.85,-86.2333,Nicaragua,NIC,Capital Provincia,57512
Salsk,46.4833,41.5333,Rusia,RUS,Capital Provincia,57622
Milagros,12.2333,123.5,Filipinas,PHL,Ciudad,57538
Beni Enzar,35.2569,-2.9342,Marruecos,MAR,Ciudad,56582
East Stroudsburg,41.0023,-75.1779,Estados Unidos,USA,Ciudad,57577
Binalonan,16.05,120.6,Filipinas,PHL,Ciudad,56382
Alangalang,11.2,124.85,Filipinas,PHL,Ciudad,57185
Santiago Tuxtla,18.4654,-95.3,México,MEX,Capital Provincia,57466
Nova Odessa,-22.7778,-47.2958,Brasil,BRA,Ciudad,56764
Uson,12.2253,123.7834,Filipinas,PHL,Ciudad,57166
Ponte Nova,-20.4158,-42.9089,Brasil,BRA,Ciudad,57390
Icara,-28.7128,-49.3,Brasil,BRA,Ciudad,57247
Buluan,6.7154,124.7854,Filipinas,PHL,Ciudad,57406
Taunton,41.9036,-71.0943,Estados Unidos,USA,Ciudad,57464
Istaravshan,39.9108,69.0064,Tayikistán,TJK,Capital Provincia,57400
Tonsberg,59.2981,10.4236,Noruega,NOR,Capital Provincia,57026
Hagonoy,6.6833,125.3,Filipinas,PHL,Ciudad,56919
Midwest City,35.463,-97.3709,Estados Unidos,USA,Ciudad,57407
Frankfurt (Oder),52.3419,14.5517,Alemania,DEU,Capital Provincia,57015
Uki,32.6478,130.6843,Japón,JPN,Ciudad,57096
Sankt Augustin,50.77,7.1867,Alemania,DEU,Ciudad,55767
Stolberg,50.7667,6.2333,Alemania,DEU,Ciudad,56792
M'diq,35.68,-5.32,Marruecos,MAR,Ciudad,56227
Coruripe,-10.1258,-36.1758,Brasil,BRA,Ciudad,57294
Riosucio,7.4386,-77.1133,Colombia,COL,Capital Provincia,57220
Sattenapalle,16.3962,80.1497,India,IND,Ciudad,56721
Bobbili,18.5729,83.3587,India,IND,Ciudad,56819
Irpin,50.5167,30.25,Ucrania,UKR,Ciudad,56806
Krymsk,44.9333,38.0,Rusia,RUS,Capital Provincia,57229
Andradina,-20.8958,-51.3789,Brasil,BRA,Ciudad,57250
Kudamatsu,34.015,131.8703,Japón,JPN,Ciudad,56661
Goldsboro,35.3778,-77.972,Estados Unidos,USA,Ciudad,57278
Azzaba,36.7333,7.1,Argelia,DZA,Ciudad,56922
Foligno,42.9561,12.7033,Italia,ITA,Ciudad,56999
Euless,32.8508,-97.0799,Estados Unidos,USA,Ciudad,57197
Shicun,38.5383,116.1096,China,CHN,Ciudad,56736
Talagante,-33.6667,-70.9333,Chile,CHL,Capital Provincia,56990
Vrindavan,27.5728,77.6933,India,IND,Ciudad,56618
Pacos de Ferreira,41.2833,-8.3833,Portugal,PRT,Capital Provincia,56340
Eschweiler,50.8167,6.2833,Alemania,DEU,Ciudad,56385
Kan'onjicho,34.1283,133.6628,Japón,JPN,Ciudad,56639
Ribnita,47.7664,29.0006,Moldavia,MDA,Ciudad,56988
Langenhagen,52.4394,9.74,Alemania,DEU,Ciudad,56288
Manfredonia,41.6333,15.9167,Italia,ITA,Ciudad,56906
Meerbusch,51.2667,6.6667,Alemania,DEU,Ciudad,56189
General Pico,-35.6587,-63.7577,Argentina,ARG,Capital Provincia,57029
Manhattan,39.1886,-96.6046,Estados Unidos,USA,Ciudad,57046
Shoreline,47.7564,-122.3426,Estados Unidos,USA,Ciudad,57027
Lian,14.0333,120.65,Filipinas,PHL,Ciudad,56280
Neryungri,56.6583,124.725,Rusia,RUS,Ciudad,57009
Moreno,-8.1186,-35.0922,Brasil,BRA,Ciudad,56696
Chini,23.3916,113.0755,China,CHN,Ciudad,56609
Tiwi,13.4585,123.6805,Filipinas,PHL,Ciudad,56444
Tama,34.4919,133.9458,Japón,JPN,Ciudad,56431
Puerto Boyaca,5.9761,-74.5875,Colombia,COL,Capital Provincia,56930
Cuemba,-12.15,18.0833,Angola,AGO,Ciudad,56963
Jackson,40.098,-74.3579,Estados Unidos,USA,Ciudad,56968
Ramon,16.7833,121.5333,Filipinas,PHL,Ciudad,56523
Gangarampur,25.4,88.52,India,IND,Ciudad,56217
Poblacion,10.4667,123.9667,Filipinas,PHL,Ciudad,55874
Paombong,14.8311,120.7892,Filipinas,PHL,Ciudad,55696
Bagheria,38.0833,13.5,Italia,ITA,Ciudad,55047
Piscataway,40.5467,-74.4636,Estados Unidos,USA,Ciudad,56884
Verviers,50.5833,5.85,Bélgica,BEL,Capital Provincia,55198
Lagonoy,13.7333,123.5167,Filipinas,PHL,Ciudad,56714
Alcobaca,39.55,-8.975,Portugal,PRT,Capital Provincia,56693
Lake Havasu City,34.5006,-114.3113,Estados Unidos,USA,Ciudad,56820
Linares,38.0833,-3.6333,España,ESP,Ciudad,56525
Jacunda,-4.4508,-49.1158,Brasil,BRA,Ciudad,56781
Basey,11.2817,125.0683,Filipinas,PHL,Ciudad,56685
Murakami,38.2239,139.4801,Japón,JPN,Ciudad,56713
Cuneo,44.3833,7.55,Italia,ITA,Capital Provincia,56281
Tilakpur,28.5278,81.1189,Nepal,NPL,Ciudad,56127
Tivoli,41.9667,12.8,Italia,ITA,Ciudad,56542
Waiblingen,48.8303,9.3169,Alemania,DEU,Capital Provincia,55449
Kandi,23.95,88.03,India,IND,Ciudad,55632
Viseu,-1.1969,-46.14,Brasil,BRA,Ciudad,56716
Pangantocan,7.8333,124.8333,Filipinas,PHL,Ciudad,56580
Taquaritinga,-21.4058,-48.505,Brasil,BRA,Ciudad,56587
Mengla,21.4866,101.5639,China,CHN,Capital Provincia,56612
Bertioga,-23.8539,-46.1389,Brasil,BRA,Ciudad,56555
Smyrna,33.8633,-84.5168,Estados Unidos,USA,Ciudad,56666
Salgueiro,-8.0669,-39.1222,Brasil,BRA,Ciudad,56629
Quezaltepeque,13.8312,-89.2722,El Salvador,SLV,Ciudad,56181
Cui'erzhuang,38.2897,116.5472,China,CHN,Ciudad,56096
Placer,11.8667,123.9167,Filipinas,PHL,Ciudad,56340
Opava,49.9381,17.9044,República Checa,CZE,Ciudad,55996
Nogata,33.7439,130.7297,Japón,JPN,Ciudad,55705
Libungan,7.25,124.5167,Filipinas,PHL,Ciudad,56269
Taybad,34.74,60.7756,Irán,IRN,Capital Provincia,56562
Trani,41.2667,16.4167,Italia,ITA,Capital Provincia,56031
Hohoe,7.149,0.4746,Ghana,GHA,Ciudad,56202
Bianyang,25.6194,106.535,China,CHN,Ciudad,56451
Cape Girardeau,37.3108,-89.5597,Estados Unidos,USA,Ciudad,56551
Bartolome Maso,20.1686,-76.9428,Cuba,CUB,Capital Provincia,56460
Amealco,20.1881,-100.1439,México,MEX,Capital Provincia,56457
Tome-Acu,-2.4189,-48.1519,Brasil,BRA,Ciudad,56518
Magsaysay,6.7667,125.1833,Filipinas,PHL,Ciudad,56263
Belampalli,19.0558,79.4931,India,IND,Ciudad,55841
Amarante,41.2667,-8.0833,Portugal,PRT,Capital Provincia,56264
Winneba,5.35,-0.6333,Ghana,GHA,Ciudad,55331
Araci,-11.3328,-38.9669,Brasil,BRA,Ciudad,56370
Gorlitz,51.1528,14.9872,Alemania,DEU,Capital Provincia,55583
Gulariya,28.2056,81.3472,Nepal,NPL,Ciudad,55747
Monte Alegre,-2.0078,-54.0689,Brasil,BRA,Ciudad,56391
Pithoragarh,29.58,80.22,India,IND,Ciudad,56044
Oosterhout,51.6431,4.8569,Netherlands,NLD,Capital Provincia,55616
Pila,14.2333,121.3667,Filipinas,PHL,Ciudad,54613
Blainville,45.67,-73.88,Canadá,CAN,Ciudad,56363
Registro,-24.4878,-47.8439,Brasil,BRA,Ciudad,56280
Takizawa,39.7347,141.0769,Japón,JPN,Ciudad,56050
Limoeiro do Norte,-5.1458,-38.0978,Brasil,BRA,Ciudad,56264
Xinqing,48.2363,129.5059,China,CHN,Ciudad,55415
Antratsyt,48.1167,39.0833,Ucrania,UKR,Ciudad,54640
Diffun,16.6,121.4667,Filipinas,PHL,Ciudad,56102
Irati,-25.4669,-50.6508,Brasil,BRA,Ciudad,56207
Urbiztondo,15.8227,120.3295,Filipinas,PHL,Ciudad,55557
Xanthi,41.1333,24.8833,Grecia,GRC,Capital Provincia,56122
Zarrin Shahr,32.3894,51.3764,Irán,IRN,Capital Provincia,55984
Khan Shaykhun,35.4419,36.6508,Siria,SYR,Capital Provincia,55843
Longmen,35.6119,110.5746,China,CHN,Ciudad,55847
Lozova,48.8892,36.3161,Ucrania,UKR,Capital Provincia,55827
Bisceglie,41.2409,16.5021,Italia,ITA,Ciudad,55385
General Tinio,15.35,121.05,Filipinas,PHL,Ciudad,55925
Parachinar,33.8992,70.1008,Pakistán,PAK,Ciudad,55685
Yongqing,34.7522,106.1312,China,CHN,Capital Provincia,55595
Katerini,40.2667,22.5,Grecia,GRC,Capital Provincia,55997
Frydek-Mistek,49.6881,18.3536,República Checa,CZE,Ciudad,55006
Bambang,16.3825,121.11,Filipinas,PHL,Ciudad,55789
Boituva,-23.2833,-47.6722,Brasil,BRA,Ciudad,55725
Portimao,37.1333,-8.5333,Portugal,PRT,Capital Provincia,55614
Den Helder,52.9583,4.7589,Netherlands,NLD,Capital Provincia,55604
Wangguanzhuang,37.0183,115.5773,China,CHN,Ciudad,55258
Volzhsk,55.8667,48.35,Rusia,RUS,Ciudad,54519
Changling,44.27,123.99,China,CHN,Capital Provincia,55841
Hidaka,35.9078,139.3392,Japón,JPN,Ciudad,54728
Toki,35.3525,137.1833,Japón,JPN,Ciudad,55388
Catu,-12.3497,-38.3831,Brasil,BRA,Ciudad,55719
Baden-Baden,48.7619,8.2408,Alemania,DEU,Capital Provincia,55449
Xiva,41.3783,60.3639,Uzbekistán,UZB,Capital Provincia,55568
Grants Pass,42.4333,-123.3317,Estados Unidos,USA,Ciudad,55837
Blue Springs,39.0124,-94.2721,Estados Unidos,USA,Ciudad,55829
Batac,18.0554,120.5649,Filipinas,PHL,Ciudad,55484
Hashtgerd,35.9619,50.68,Irán,IRN,Capital Provincia,55640
Jaru,-10.4389,-62.4664,Brasil,BRA,Ciudad,55806
Gus'-Khrustal'nyy,55.6167,40.65,Rusia,RUS,Ciudad,54533
Tucano,-10.9628,-38.7869,Brasil,BRA,Ciudad,55777
Martin,49.0636,18.9214,Eslovaquia,SVK,Capital Provincia,54978
Umm Ruwaba,12.9058,31.2156,Sudán,SDN,Ciudad,55742
Southaven,34.9514,-89.9787,Estados Unidos,USA,Ciudad,55780
